symbol,as_of_date,available_date,market_cap_cr,source,filing_id,loaded_at
KAMOPAINTS,2026-04-01,2026-04-01,134.559598766,CALCULATED_QUARTERLY_SHARES,SHP_1644853_01042026035332,2026-08-18 17:58:29
METROPOLIS,2026-04-01,2026-04-01,8795.090900875,CALCULATED_QUARTERLY_SHARES,SHP_1645025_01042026062738,2026-08-18 17:58:29
CANBK,2026-04-02,2026-04-02,115241.377314624,CALCULATED_QUARTERLY_SHARES,SHP_1645570_02042026071027,2026-08-18 17:58:29
CENTRUM,2026-04-02,2026-04-02,1461.860318772,CALCULATED_QUARTERLY_SHARES,SHP_1645493_02042026055613,2026-08-18 17:58:29
CHENNPETRO,2026-04-02,2026-04-02,15370.707167025,CALCULATED_QUARTERLY_SHARES,SHP_1645353_02042026040048,2026-08-18 17:58:29
DODLA,2026-04-02,2026-04-02,6218.678392474999,CALCULATED_QUARTERLY_SHARES,SHP_1645332_02042026034400,2026-08-18 17:58:29
HCG,2026-04-02,2026-04-02,7878.5594169,CALCULATED_QUARTERLY_SHARES,SHP_1645310_02042026023030,2026-08-18 17:58:29
HDFCBANK,2026-04-02,2026-04-02,1001450.79944862,CALCULATED_QUARTERLY_SHARES,SHP_1645257_02042026124041,2026-08-18 17:58:29
KAMOPAINTS,2026-04-02,2026-04-02,140.152540524,CALCULATED_QUARTERLY_SHARES,SHP_1644853_01042026035332,2026-08-18 17:58:29
METROPOLIS,2026-04-02,2026-04-02,8743.263612125,CALCULATED_QUARTERLY_SHARES,SHP_1645025_01042026062738,2026-08-18 17:58:29
ONELIFECAP,2026-04-02,2026-04-02,57.20203036800001,CALCULATED_QUARTERLY_SHARES,SHP_1645293_02042026013756,2026-08-18 17:58:29
V2RETAIL,2026-04-02,2026-04-02,6991.055730077001,CALCULATED_QUARTERLY_SHARES,SHP_1645345_02042026035653,2026-08-18 17:58:29
21STCENMGM,2026-04-03,2026-04-03,30.261193094,CALCULATED_QUARTERLY_SHARES,SHP_1645821_03042026052841,2026-08-18 17:58:29
ADANIGREEN,2026-04-03,2026-04-03,141007.1312776,CALCULATED_QUARTERLY_SHARES,SHP_1645769_03042026035429,2026-08-18 17:58:29
BAGFILMS,2026-04-03,2026-04-03,87.031979545,CALCULATED_QUARTERLY_SHARES,SHP_1645771_03042026035732,2026-08-18 17:58:29
CANBK,2026-04-03,2026-04-03,115241.377314624,CALCULATED_QUARTERLY_SHARES,SHP_1645570_02042026071027,2026-08-18 17:58:29
CENTRUM,2026-04-03,2026-04-03,1461.860318772,CALCULATED_QUARTERLY_SHARES,SHP_1645493_02042026055613,2026-08-18 17:58:29
CHENNPETRO,2026-04-03,2026-04-03,15370.707167025,CALCULATED_QUARTERLY_SHARES,SHP_1645353_02042026040048,2026-08-18 17:58:29
DBSTOCKBRO,2026-04-03,2026-04-03,91.315803572,CALCULATED_QUARTERLY_SHARES,SHP_1645733_03042026023757,2026-08-18 17:58:29
DODLA,2026-04-03,2026-04-03,6218.678392474999,CALCULATED_QUARTERLY_SHARES,SHP_1645332_02042026034400,2026-08-18 17:58:29
EMSLIMITED,2026-04-03,2026-04-03,1596.27055944,CALCULATED_QUARTERLY_SHARES,SHP_1645844_03042026060514,2026-08-18 17:58:29
ETERNAL,2026-04-03,2026-04-03,223618.00101106803,CALCULATED_QUARTERLY_SHARES,SHP_1645714_03042026011438,2026-08-18 17:58:29
HCG,2026-04-03,2026-04-03,7878.5594169,CALCULATED_QUARTERLY_SHARES,SHP_1645310_02042026023030,2026-08-18 17:58:29
HDFCBANK,2026-04-03,2026-04-03,1001450.79944862,CALCULATED_QUARTERLY_SHARES,SHP_1645257_02042026124041,2026-08-18 17:58:29
KAMOPAINTS,2026-04-03,2026-04-03,140.152540524,CALCULATED_QUARTERLY_SHARES,SHP_1644853_01042026035332,2026-08-18 17:58:29
KANPRPLA,2026-04-03,2026-04-03,435.78448624800006,CALCULATED_QUARTERLY_SHARES,SHP_1645817_03042026052503,2026-08-18 17:58:29
METROPOLIS,2026-04-03,2026-04-03,8743.263612125,CALCULATED_QUARTERLY_SHARES,SHP_1645025_01042026062738,2026-08-18 17:58:29
NAGAFERT,2026-04-03,2026-04-03,230.245521275,CALCULATED_QUARTERLY_SHARES,SHP_1645855_03042026063347,2026-08-18 17:58:29
ONELIFECAP,2026-04-03,2026-04-03,57.20203036800001,CALCULATED_QUARTERLY_SHARES,SHP_1645293_02042026013756,2026-08-18 17:58:29
PLASTIBLEN,2026-04-03,2026-04-03,336.63095060800003,CALCULATED_QUARTERLY_SHARES,SHP_1645794_03042026043636,2026-08-18 17:58:29
SHARDACROP,2026-04-03,2026-04-03,8005.366383389999,CALCULATED_QUARTERLY_SHARES,SHP_1645847_03042026061336,2026-08-18 17:58:29
V2RETAIL,2026-04-03,2026-04-03,6991.055730077001,CALCULATED_QUARTERLY_SHARES,SHP_1645345_02042026035653,2026-08-18 17:58:29
21STCENMGM,2026-04-06,2026-04-06,30.051191754,CALCULATED_QUARTERLY_SHARES,SHP_1645821_03042026052841,2026-08-18 17:58:29
ADANIGREEN,2026-04-06,2026-04-06,151730.92128481,CALCULATED_QUARTERLY_SHARES,SHP_1645769_03042026035429,2026-08-18 17:58:29
AKSHARCHEM,2026-04-06,2026-04-06,133.938140196,CALCULATED_QUARTERLY_SHARES,SHP_1646108_06042026123125,2026-08-18 17:58:29
ANIKINDS,2026-04-06,2026-04-06,108.2269656,CALCULATED_QUARTERLY_SHARES,SHP_1645959_04042026025255,2026-08-18 17:58:29
ANTELOPUS,2026-04-06,2026-04-06,2237.76657416,CALCULATED_QUARTERLY_SHARES,SHP_1646309_06042026053659,2026-08-18 17:58:29
ARIHANTSUP,2026-04-06,2026-04-06,921.539085324,CALCULATED_QUARTERLY_SHARES,SHP_1646230_06042026035701,2026-08-18 17:58:29
ATLANTAA,2026-04-06,2026-04-06,304.079887748,CALCULATED_QUARTERLY_SHARES,SHP_1646002_04042026053644,2026-08-18 17:58:29
AVROIND,2026-04-06,2026-04-06,149.961185232,CALCULATED_QUARTERLY_SHARES,SHP_1646220_06042026034853,2026-08-18 17:58:29
BAGFILMS,2026-04-06,2026-04-06,89.109115095,CALCULATED_QUARTERLY_SHARES,SHP_1645771_03042026035732,2026-08-18 17:58:29
BCONCEPTS,2026-04-06,2026-04-06,282.805396498,CALCULATED_QUARTERLY_SHARES,SHP_1646259_06042026043638,2026-08-18 17:58:29
BEPL,2026-04-06,2026-04-06,2209.9564536,CALCULATED_QUARTERLY_SHARES,SHP_1645987_04042026044818,2026-08-18 17:58:29
BETA,2026-04-06,2026-04-06,1570.1850534,CALCULATED_QUARTERLY_SHARES,SHP_1646119_06042026124204,2026-08-18 17:58:29
CANBK,2026-04-06,2026-04-06,118389.107000406,CALCULATED_QUARTERLY_SHARES,SHP_1645570_02042026071027,2026-08-18 17:58:29
CCCL,2026-04-06,2026-04-06,665.72310023,CALCULATED_QUARTERLY_SHARES,SHP_1646208_06042026033504,2026-08-18 17:58:29
CENTRUM,2026-04-06,2026-04-06,1461.860318772,CALCULATED_QUARTERLY_SHARES,SHP_1645493_02042026055613,2026-08-18 17:58:29
CHENNPETRO,2026-04-06,2026-04-06,14605.336037565,CALCULATED_QUARTERLY_SHARES,SHP_1645353_02042026040048,2026-08-18 17:58:29
CREATIVEYE,2026-04-06,2026-04-06,12.2352946,CALCULATED_QUARTERLY_SHARES,SHP_1645993_04042026050556,2026-08-18 17:58:29
CUPID,2026-04-06,2026-04-06,11907.78283849,CALCULATED_QUARTERLY_SHARES,SHP_1646341_06042026061116,2026-08-18 17:58:29
DBSTOCKBRO,2026-04-06,2026-04-06,90.965800492,CALCULATED_QUARTERLY_SHARES,SHP_1645733_03042026023757,2026-08-18 17:58:29
DIAMINESQ,2026-04-06,2026-04-06,237.638777453,CALCULATED_QUARTERLY_SHARES,SHP_1645963_04042026032359,2026-08-18 17:58:29
DODLA,2026-04-06,2026-04-06,6166.4966317,CALCULATED_QUARTERLY_SHARES,SHP_1645332_02042026034400,2026-08-18 17:58:29
DYNPRO,2026-04-06,2026-04-06,275.03626517000004,CALCULATED_QUARTERLY_SHARES,SHP_1646170_06042026025008,2026-08-18 17:58:29
EFCIL,2026-04-06,2026-04-06,2656.23330465,CALCULATED_QUARTERLY_SHARES,SHP_1646051_04042026083352,2026-08-18 17:58:29
EMSLIMITED,2026-04-06,2026-04-06,1613.76317472,CALCULATED_QUARTERLY_SHARES,SHP_1645844_03042026060514,2026-08-18 17:58:29
ETERNAL,2026-04-06,2026-04-06,224081.21799918,CALCULATED_QUARTERLY_SHARES,SHP_1645714_03042026011438,2026-08-18 17:58:29
FIEMIND,2026-04-06,2026-04-06,5327.71955856,CALCULATED_QUARTERLY_SHARES,SHP_1646248_06042026041644,2026-08-18 17:58:29
FINPIPE,2026-04-06,2026-04-06,9908.52512469,CALCULATED_QUARTERLY_SHARES,SHP_1645973_04042026035242,2026-08-18 17:58:29
FMNL,2026-04-06,2026-04-06,50.787910404,CALCULATED_QUARTERLY_SHARES,SHP_1646061_05042026041159,2026-08-18 17:58:29
GALAXYSURF,2026-04-06,2026-04-06,5960.95501788,CALCULATED_QUARTERLY_SHARES,SHP_1646233_06042026040136,2026-08-18 17:58:29
GIPCL,2026-04-06,2026-04-06,2051.223126176,CALCULATED_QUARTERLY_SHARES,SHP_1646173_06042026025102,2026-08-18 17:58:29
GLOBAL,2026-04-06,2026-04-06,507.885428472,CALCULATED_QUARTERLY_SHARES,SHP_1646003_04042026053724,2026-08-18 17:58:29
GOACARBON,2026-04-06,2026-04-06,280.7990487,CALCULATED_QUARTERLY_SHARES,SHP_1646157_06042026021044,2026-08-18 17:58:29
GRANULES,2026-04-06,2026-04-06,15956.6202264,CALCULATED_QUARTERLY_SHARES,SHP_1646192_06042026031945,2026-08-18 17:58:29
HAVISHA,2026-04-06,2026-04-06,23.183061106,CALCULATED_QUARTERLY_SHARES,SHP_1646015_04042026060546,2026-08-18 17:58:29
HCG,2026-04-06,2026-04-06,8065.93087925,CALCULATED_QUARTERLY_SHARES,SHP_1645310_02042026023030,2026-08-18 17:58:29
HDFCBANK,2026-04-06,2026-04-06,1028257.5128178,CALCULATED_QUARTERLY_SHARES,SHP_1645257_02042026124041,2026-08-18 17:58:29
HISARMETAL,2026-04-06,2026-04-06,76.501613088,CALCULATED_QUARTERLY_SHARES,SHP_1645924_04042026110632,2026-08-18 17:58:29
INDIANHUME,2026-04-06,2026-04-06,1691.8474246499998,CALCULATED_QUARTERLY_SHARES,SHP_1646175_06042026025756,2026-08-18 17:58:29
KAMOPAINTS,2026-04-06,2026-04-06,151.667420614,CALCULATED_QUARTERLY_SHARES,SHP_1644853_01042026035332,2026-08-18 17:58:29
KANPRPLA,2026-04-06,2026-04-06,440.606952476,CALCULATED_QUARTERLY_SHARES,SHP_1645817_03042026052503,2026-08-18 17:58:29
KCP,2026-04-06,2026-04-06,1934.2500756280003,CALCULATED_QUARTERLY_SHARES,SHP_1646105_06042026122606,2026-08-18 17:58:29
KIRIINDUS,2026-04-06,2026-04-06,2267.802687645,CALCULATED_QUARTERLY_SHARES,SHP_1646155_06042026020554,2026-08-18 17:58:29
KNRCON,2026-04-06,2026-04-06,3228.866045394,CALCULATED_QUARTERLY_SHARES,SHP_1646288_06042026051438,2026-08-18 17:58:29
KOPRAN,2026-04-06,2026-04-06,605.90860122,CALCULATED_QUARTERLY_SHARES,SHP_1646250_06042026041850,2026-08-18 17:58:29
KRSNAA,2026-04-06,2026-04-06,1837.149144375,CALCULATED_QUARTERLY_SHARES,SHP_1646317_06042026054250,2026-08-18 17:58:29
KUANTUM,2026-04-06,2026-04-06,643.614988875,CALCULATED_QUARTERLY_SHARES,SHP_1645946_04042026011405,2026-08-18 17:58:29
MADHUCON,2026-04-06,2026-04-06,31.72980621,CALCULATED_QUARTERLY_SHARES,SHP_1646252_06042026042630,2026-08-18 17:58:29
METROPOLIS,2026-04-06,2026-04-06,8929.841851625,CALCULATED_QUARTERLY_SHARES,SHP_1645025_01042026062738,2026-08-18 17:58:29
MURUDCERA,2026-04-06,2026-04-06,166.673505253,CALCULATED_QUARTERLY_SHARES,SHP_1646234_06042026040227,2026-08-18 17:58:29
NAGAFERT,2026-04-06,2026-04-06,235.62788411,CALCULATED_QUARTERLY_SHARES,SHP_1645855_03042026063347,2026-08-18 17:58:29
ONELIFECAP,2026-04-06,2026-04-06,56.043792,CALCULATED_QUARTERLY_SHARES,SHP_1645293_02042026013756,2026-08-18 17:58:29
ORIENTBELL,2026-04-06,2026-04-06,385.67952408,CALCULATED_QUARTERLY_SHARES,SHP_1646384_06042026064049,2026-08-18 17:58:29
PLASTIBLEN,2026-04-06,2026-04-06,349.18443648999994,CALCULATED_QUARTERLY_SHARES,SHP_1645794_03042026043636,2026-08-18 17:58:29
POWERMECH,2026-04-06,2026-04-06,6068.8432342,CALCULATED_QUARTERLY_SHARES,SHP_1645969_04042026035027,2026-08-18 17:58:29
PSPPROJECT,2026-04-06,2026-04-06,2510.7697304,CALCULATED_QUARTERLY_SHARES,SHP_1645938_04042026121826,2026-08-18 17:58:29
REPCOHOME,2026-04-06,2026-04-06,2334.0095960850003,CALCULATED_QUARTERLY_SHARES,SHP_1646182_06042026031226,2026-08-18 17:58:29
RPEL,2026-04-06,2026-04-06,2887.572156315,CALCULATED_QUARTERLY_SHARES,SHP_1646146_06042026013923,2026-08-18 17:58:29
SHARDACROP,2026-04-06,2026-04-06,8255.2803345,CALCULATED_QUARTERLY_SHARES,SHP_1645847_03042026061336,2026-08-18 17:58:29
SIL,2026-04-06,2026-04-06,87.412928013,CALCULATED_QUARTERLY_SHARES,SHP_1646066_05042026112107,2026-08-18 17:58:29
SILLYMONKS,2026-04-06,2026-04-06,21.25191936,CALCULATED_QUARTERLY_SHARES,SHP_1646141_06042026012213,2026-08-18 17:58:29
STCINDIA,2026-04-06,2026-04-06,626.04,CALCULATED_QUARTERLY_SHARES,SHP_1646148_06042026014702,2026-08-18 17:58:29
SUMEETINDS,2026-04-06,2026-04-06,1528.4582021279998,CALCULATED_QUARTERLY_SHARES,SHP_1646200_06042026032722,2026-08-18 17:58:29
SUPERHOUSE,2026-04-06,2026-04-06,160.3128783,CALCULATED_QUARTERLY_SHARES,SHP_1645997_04042026051506,2026-08-18 17:58:29
SURAKSHA,2026-04-06,2026-04-06,1303.299798606,CALCULATED_QUARTERLY_SHARES,SHP_1645958_04042026024319,2026-08-18 17:58:29
TALBROAUTO,2026-04-06,2026-04-06,1521.701195,CALCULATED_QUARTERLY_SHARES,SHP_1646284_06042026050725,2026-08-18 17:58:29
TIIL,2026-04-06,2026-04-06,5097.87728754,CALCULATED_QUARTERLY_SHARES,SHP_1646093_06042026121050,2026-08-18 17:58:29
V2RETAIL,2026-04-06,2026-04-06,7091.704177289,CALCULATED_QUARTERLY_SHARES,SHP_1645345_02042026035653,2026-08-18 17:58:29
VEEDOL,2026-04-06,2026-04-06,2281.76171505,CALCULATED_QUARTERLY_SHARES,SHP_1646278_06042026050108,2026-08-18 17:58:29
VSTL,2026-04-06,2026-04-06,207.11093706,CALCULATED_QUARTERLY_SHARES,SHP_1646260_06042026043916,2026-08-18 17:58:29
21STCENMGM,2026-04-07,2026-04-07,30.03019162,CALCULATED_QUARTERLY_SHARES,SHP_1645821_03042026052841,2026-08-18 17:58:29
AARON,2026-04-07,2026-04-07,304.500913181,CALCULATED_QUARTERLY_SHARES,SHP_1646655_07042026032913,2026-08-18 17:58:29
ADANIGREEN,2026-04-07,2026-04-07,152431.01510248502,CALCULATED_QUARTERLY_SHARES,SHP_1645769_03042026035429,2026-08-18 17:58:29
AFFORDABLE,2026-04-07,2026-04-07,176.73375013,CALCULATED_QUARTERLY_SHARES,SHP_1646675_07042026034528,2026-08-18 17:58:29
AHLUCONT,2026-04-07,2026-04-07,4862.75966853,CALCULATED_QUARTERLY_SHARES,SHP_1646513_07042026113004,2026-08-18 17:58:29
AKSHARCHEM,2026-04-07,2026-04-07,138.70156331799998,CALCULATED_QUARTERLY_SHARES,SHP_1646108_06042026123125,2026-08-18 17:58:29
AKUMS,2026-04-07,2026-04-07,7705.27242082,CALCULATED_QUARTERLY_SHARES,SHP_1646793_07042026052444,2026-08-18 17:58:29
ALLDIGI,2026-04-07,2026-04-07,1225.41189342,CALCULATED_QUARTERLY_SHARES,SHP_1647019_07042026100348,2026-08-18 17:58:29
AMBIKCO,2026-04-07,2026-04-07,747.17844656,CALCULATED_QUARTERLY_SHARES,SHP_1646561_07042026123211,2026-08-18 17:58:29
ANIKINDS,2026-04-07,2026-04-07,108.31021711200002,CALCULATED_QUARTERLY_SHARES,SHP_1645959_04042026025255,2026-08-18 17:58:29
ANTELOPUS,2026-04-07,2026-04-07,2461.40258,CALCULATED_QUARTERLY_SHARES,SHP_1646309_06042026053659,2026-08-18 17:58:29
ARIES,2026-04-07,2026-04-07,470.61609902999993,CALCULATED_QUARTERLY_SHARES,SHP_1646763_07042026050011,2026-08-18 17:58:29
ARIHANTSUP,2026-04-07,2026-04-07,943.856359836,CALCULATED_QUARTERLY_SHARES,SHP_1646230_06042026035701,2026-08-18 17:58:29
ASKAUTOLTD,2026-04-07,2026-04-07,8539.231719,CALCULATED_QUARTERLY_SHARES,SHP_1646669_07042026034208,2026-08-18 17:58:29
ATLANTAA,2026-04-07,2026-04-07,320.543071164,CALCULATED_QUARTERLY_SHARES,SHP_1646002_04042026053644,2026-08-18 17:58:29
AUTOIND,2026-04-07,2026-04-07,273.254494814,CALCULATED_QUARTERLY_SHARES,SHP_1646640_07042026031609,2026-08-18 17:58:29
AVANTEL,2026-04-07,2026-04-07,3614.938566658,CALCULATED_QUARTERLY_SHARES,SHP_1646509_07042026112253,2026-08-18 17:58:29
AVROIND,2026-04-07,2026-04-07,148.843065264,CALCULATED_QUARTERLY_SHARES,SHP_1646220_06042026034853,2026-08-18 17:58:29
BAGFILMS,2026-04-07,2026-04-07,89.31682865,CALCULATED_QUARTERLY_SHARES,SHP_1645771_03042026035732,2026-08-18 17:58:29
BAIDFIN,2026-04-07,2026-04-07,155.50397776,CALCULATED_QUARTERLY_SHARES,SHP_1646886_07042026060635,2026-08-18 17:58:29
BAJAJCON,2026-04-07,2026-04-07,5067.18494969,CALCULATED_QUARTERLY_SHARES,SHP_1646508_07042026112148,2026-08-18 17:58:29
BCONCEPTS,2026-04-07,2026-04-07,279.809841058,CALCULATED_QUARTERLY_SHARES,SHP_1646259_06042026043638,2026-08-18 17:58:29
BEPL,2026-04-07,2026-04-07,2137.28671436,CALCULATED_QUARTERLY_SHARES,SHP_1645987_04042026044818,2026-08-18 17:58:29
BETA,2026-04-07,2026-04-07,1546.16091798,CALCULATED_QUARTERLY_SHARES,SHP_1646119_06042026124204,2026-08-18 17:58:29
BODALCHEM,2026-04-07,2026-04-07,809.2923935040001,CALCULATED_QUARTERLY_SHARES,SHP_1646493_07042026104857,2026-08-18 17:58:29
BPL,2026-04-07,2026-04-07,220.477422934,CALCULATED_QUARTERLY_SHARES,SHP_1646781_07042026051139,2026-08-18 17:58:29
CANBK,2026-04-07,2026-04-07,117481.980289806,CALCULATED_QUARTERLY_SHARES,SHP_1645570_02042026071027,2026-08-18 17:58:29
CCCL,2026-04-07,2026-04-07,694.317917958,CALCULATED_QUARTERLY_SHARES,SHP_1646208_06042026033504,2026-08-18 17:58:29
CENTRUM,2026-04-07,2026-04-07,1416.359056588,CALCULATED_QUARTERLY_SHARES,SHP_1645493_02042026055613,2026-08-18 17:58:29
CGCL,2026-04-07,2026-04-07,16358.219729054,CALCULATED_QUARTERLY_SHARES,SHP_1646587_07042026011026,2026-08-18 17:58:29
CHEMBONDCH,2026-04-07,2026-04-07,387.38424024,CALCULATED_QUARTERLY_SHARES,SHP_1646726_07042026043107,2026-08-18 17:58:29
CHENNPETRO,2026-04-07,2026-04-07,14416.226828535,CALCULATED_QUARTERLY_SHARES,SHP_1645353_02042026040048,2026-08-18 17:58:29
CREATIVEYE,2026-04-07,2026-04-07,12.716683239999998,CALCULATED_QUARTERLY_SHARES,SHP_1645993_04042026050556,2026-08-18 17:58:29
CUPID,2026-04-07,2026-04-07,11610.592549692,CALCULATED_QUARTERLY_SHARES,SHP_1646341_06042026061116,2026-08-18 17:58:29
CYBERTECH,2026-04-07,2026-04-07,408.482886762,CALCULATED_QUARTERLY_SHARES,SHP_1646903_07042026062302,2026-08-18 17:58:29
DBSTOCKBRO,2026-04-07,2026-04-07,90.405795564,CALCULATED_QUARTERLY_SHARES,SHP_1645733_03042026023757,2026-08-18 17:58:29
DEVX,2026-04-07,2026-04-07,318.21821942400004,CALCULATED_QUARTERLY_SHARES,SHP_1646965_07042026070645,2026-08-18 17:58:29
DIAMINESQ,2026-04-07,2026-04-07,235.507578129,CALCULATED_QUARTERLY_SHARES,SHP_1645963_04042026032359,2026-08-18 17:58:29
DLF,2026-04-07,2026-04-07,132201.02501123,CALCULATED_QUARTERLY_SHARES,SHP_1646997_07042026090031,2026-08-18 17:58:29
DODLA,2026-04-07,2026-04-07,6111.901841525,CALCULATED_QUARTERLY_SHARES,SHP_1645332_02042026034400,2026-08-18 17:58:29
DYNPRO,2026-04-07,2026-04-07,275.9062398,CALCULATED_QUARTERLY_SHARES,SHP_1646170_06042026025008,2026-08-18 17:58:29
EFCIL,2026-04-07,2026-04-07,2649.6441987780004,CALCULATED_QUARTERLY_SHARES,SHP_1646051_04042026083352,2026-08-18 17:58:29
ELECTHERM,2026-04-07,2026-04-07,766.6060959,CALCULATED_QUARTERLY_SHARES,SHP_1646745_07042026043925,2026-08-18 17:58:29
EMSLIMITED,2026-04-07,2026-04-07,1609.0429452,CALCULATED_QUARTERLY_SHARES,SHP_1645844_03042026060514,2026-08-18 17:58:29
ENIL,2026-04-07,2026-04-07,504.3663744,CALCULATED_QUARTERLY_SHARES,SHP_1646631_07042026025855,2026-08-18 17:58:29
ESSENTIA,2026-04-07,2026-04-07,129.161268984,CALCULATED_QUARTERLY_SHARES,SHP_1646929_07042026063905,2026-08-18 17:58:29
ETERNAL,2026-04-07,2026-04-07,223859.25985904303,CALCULATED_QUARTERLY_SHARES,SHP_1645714_03042026011438,2026-08-18 17:58:29
FIEMIND,2026-04-07,2026-04-07,5345.0891244,CALCULATED_QUARTERLY_SHARES,SHP_1646248_06042026041644,2026-08-18 17:58:29
FINPIPE,2026-04-07,2026-04-07,9861.98874894,CALCULATED_QUARTERLY_SHARES,SHP_1645973_04042026035242,2026-08-18 17:58:29
FLUOROCHEM,2026-04-07,2026-04-07,35550.662288609994,CALCULATED_QUARTERLY_SHARES,SHP_1646478_07042026100259,2026-08-18 17:58:29
FMNL,2026-04-07,2026-04-07,51.67892637599999,CALCULATED_QUARTERLY_SHARES,SHP_1646061_05042026041159,2026-08-18 17:58:29
GALAXYSURF,2026-04-07,2026-04-07,5948.899791219999,CALCULATED_QUARTERLY_SHARES,SHP_1646233_06042026040136,2026-08-18 17:58:29
