symbol,as_of_date,available_date,shares_outstanding,promoter_holding_pct,public_holding_pct,source,filing_id
20MICRONS,2026-03-31,2026-04-17,35287220,45.04,54.96,NSE_SHAREHOLDING_XBRL,SHP_1652836_17042026111733
20MICRONS,2026-06-30,2026-07-11,35287220,45.04,54.96,NSE_SHAREHOLDING_XBRL,SHP_1691009_11072026041314
21STCENMGM,2026-03-31,2026-04-03,10500067,64.43,35.57,NSE_SHAREHOLDING_XBRL,SHP_1645821_03042026052841
21STCENMGM,2026-06-30,2026-07-31,10500067,64.43,35.57,NSE_SHAREHOLDING_XBRL,SHP_1705864_31072026012642
360ONE,2026-03-31,2026-06-17,405901346,6.24,93.76,NSE_SHAREHOLDING_XBRL,SHP_1682210_17062026123154
360ONE,2026-06-30,2026-07-21,406907161,6.2,93.8,NSE_SHAREHOLDING_XBRL,SHP_1698400_21072026050353
3IINFOLTD,2026-03-31,2026-04-20,207403767,0.0,100.0,NSE_SHAREHOLDING_XBRL,SHP_1655562_20042026074742
3IINFOLTD,2026-06-30,2026-07-20,207403767,0.0,100.0,NSE_SHAREHOLDING_XBRL,SHP_1697533_20072026080239
3MINDIA,2026-03-31,2026-04-19,11265069,75.0,25.0,NSE_SHAREHOLDING_XBRL,SHP_1654443_19042026030759
3MINDIA,2026-06-30,2026-07-17,11265069,75.0,25.0,NSE_SHAREHOLDING_XBRL,SHP_1695617_17072026063501
3PLAND,2026-03-31,2026-04-14,18000216,73.3,26.7,NSE_SHAREHOLDING_XBRL,SHP_1650681_14042026043206
3PLAND,2026-06-30,2026-07-20,18000216,73.3,26.7,NSE_SHAREHOLDING_XBRL,SHP_1696498_20072026121815
5PAISA,2026-03-31,2026-04-17,31251504,32.77,67.22,NSE_SHAREHOLDING_XBRL,SHP_1653308_17042026050021
5PAISA,2026-04-13,2026-04-20,46886008,36.5,63.49,NSE_SHAREHOLDING_XBRL,SHP_1655487_20042026070813
5PAISA,2026-06-30,2026-07-20,46886008,36.5,63.49,NSE_SHAREHOLDING_XBRL,SHP_1697409_20072026070224
63MOONS,2026-03-31,2026-04-15,46079066,45.63,54.37,NSE_SHAREHOLDING_XBRL,SHP_1651035_15042026113742
63MOONS,2026-06-30,2026-07-21,46079066,45.63,54.37,NSE_SHAREHOLDING_XBRL,SHP_1698137_21072026031350
A2ZINFRA,2026-03-31,2026-04-21,176122896,28.14,71.86,NSE_SHAREHOLDING_XBRL,SHP_1656572_21042026062211
A2ZINFRA,2026-06-30,2026-07-20,177510684,27.92,72.08,NSE_SHAREHOLDING_XBRL,SHP_1697166_20072026054651
AAATECH,2026-03-31,2026-04-17,12827225,34.38,65.62,NSE_SHAREHOLDING_XBRL,SHP_1653054_17042026025437
AAATECH,2026-06-30,2026-07-21,12827225,34.38,65.62,NSE_SHAREHOLDING_XBRL,SHP_1697869_21072026123249
AADHARHFC,2026-03-31,2026-04-13,435730088,64.9,35.1,NSE_SHAREHOLDING_XBRL,SHP_1650083_13042026061334
AADHARHFC,2026-06-30,2026-07-16,437347397,64.66,35.34,NSE_SHAREHOLDING_XBRL,SHP_1694400_16072026053329
AAKASH,2026-03-31,2026-08-14,101256195,66.54,33.46,NSE_SHAREHOLDING_XBRL,SHP_1714374_14082026033803
AAKASH,2026-06-30,2026-08-14,101256195,66.54,33.46,NSE_SHAREHOLDING_XBRL,SHP_1714380_14082026034152
AAREYDRUGS,2026-03-31,2026-04-20,28354397,37.71,62.29,NSE_SHAREHOLDING_XBRL,SHP_1654655_20042026123653
AAREYDRUGS,2026-06-30,2026-07-21,28354397,37.71,62.29,NSE_SHAREHOLDING_XBRL,SHP_1698826_21072026073942
AARNAV,2026-03-31,2026-04-21,42240298,66.53,33.47,NSE_SHAREHOLDING_XBRL,SHP_1656854_21042026091722
AARNAV,2026-06-30,2026-07-24,42240298,66.53,33.47,NSE_SHAREHOLDING_XBRL,SHP_1700623_24072026020821
AARON,2026-03-31,2026-04-07,20946613,73.07,26.93,NSE_SHAREHOLDING_XBRL,SHP_1646655_07042026032913
AARON,2026-06-30,2026-07-18,20946613,73.07,26.93,NSE_SHAREHOLDING_XBRL,SHP_1695882_18072026111015
AARTECH,2026-03-31,2026-04-16,31771268,52.75,47.25,NSE_SHAREHOLDING_XBRL,SHP_1651850_16042026111225
AARTECH,2026-06-30,2026-07-09,31771268,52.75,47.25,NSE_SHAREHOLDING_XBRL,SHP_1689555_09072026114851
AARTIDRUGS,2026-03-31,2026-04-20,91265512,55.03,44.97,NSE_SHAREHOLDING_XBRL,SHP_1655667_20042026112239
AARTIDRUGS,2026-06-30,2026-08-14,91275451,54.43,45.57,NSE_SHAREHOLDING_XBRL,SHP_1713919_13082026070959
AARTIIND,2026-03-31,2026-04-17,362612640,42.09,57.91,NSE_SHAREHOLDING_XBRL,SHP_1653134_17042026034703
AARTIIND,2026-06-30,2026-07-17,362746662,41.82,58.18,NSE_SHAREHOLDING_XBRL,SHP_1695456_17072026053403
AARTIPHARM,2026-03-31,2026-08-07,90664958,43.08,56.92,NSE_SHAREHOLDING_XBRL,SHP_1709547_07082026120524
AARTIPHARM,2026-06-30,2026-07-16,90674204,42.86,57.14,NSE_SHAREHOLDING_XBRL,SHP_1694024_16072026022654
AARTISURF,2026-03-31,2026-04-17,8465258,49.87,50.13,NSE_SHAREHOLDING_XBRL,SHP_1653240_17042026043133
AARTISURF,2026-06-30,2026-07-30,8470353,49.84,50.16,NSE_SHAREHOLDING_XBRL,SHP_1704735_30072026111122
AARVI,2026-03-31,2026-08-06,14809863,73.53,26.47,NSE_SHAREHOLDING_XBRL,SHP_1706045_31072026045015
AARVI,2026-06-30,2026-08-06,14844182,73.36,26.64,NSE_SHAREHOLDING_XBRL,SHP_1706052_31072026045341
AAVAS,2026-03-31,2026-04-17,79290565,48.88,51.12,NSE_SHAREHOLDING_XBRL,SHP_1653501_17042026062759
AAVAS,2026-06-30,2026-07-09,79290565,48.88,51.12,NSE_SHAREHOLDING_XBRL,SHP_1689981_09072026061648
ABAN,2026-03-31,2026-04-10,58361217,46.0,54.0,NSE_SHAREHOLDING_XBRL,SHP_1648782_10042026042936
ABAN,2026-06-30,2026-07-20,58361217,46.0,54.0,NSE_SHAREHOLDING_XBRL,SHP_1697201_20072026055417
ABB,2026-03-31,2026-04-17,211908375,75.0,25.0,NSE_SHAREHOLDING_XBRL,SHP_1653405_17042026054202
ABCAPITAL,2026-03-31,2026-05-18,2570695992,68.51,31.49,NSE_SHAREHOLDING_XBRL,SHP_1654839_20042026030112
ABCAPITAL,2026-06-23,2026-06-23,2685214091,68.81,31.19,NSE_SHAREHOLDING_XBRL,SHP_1683779_23062026082305
ABCAPITAL,2026-06-30,2026-07-21,2685214091,68.81,31.19,NSE_SHAREHOLDING_XBRL,SHP_1698450_21072026052022
ABCOTS,2026-03-31,2026-04-16,21961604,52.5,47.5,NSE_SHAREHOLDING_XBRL,SHP_1652495_16042026060029
ABCOTS,2026-06-30,2026-07-13,21961604,52.5,47.5,NSE_SHAREHOLDING_XBRL,SHP_1691520_13072026045912
ABDL,2026-03-31,2026-04-21,279718294,80.91,19.09,NSE_SHAREHOLDING_XBRL,SHP_1656819_21042026084238
ABDL,2026-06-30,2026-07-20,279718294,80.91,19.09,NSE_SHAREHOLDING_XBRL,SHP_1697389_20072026065220
ABFRL,2026-03-31,2026-06-05,1220577406,46.61,53.08,NSE_SHAREHOLDING_XBRL,SHP_1679654_05062026011231
ABFRL,2026-06-30,2026-08-06,1220577406,46.61,53.08,NSE_SHAREHOLDING_XBRL,SHP_1706796_03082026123230
ABHISHEK,2026-03-31,2026-04-10,16008147,57.63,42.37,NSE_SHAREHOLDING_XBRL,SHP_1648461_10042026114108
ABHISHEK,2026-06-30,2026-07-07,16008147,57.63,42.37,NSE_SHAREHOLDING_XBRL,SHP_1688907_07072026051747
ABINFRA,2026-03-31,2026-08-06,638699321,30.95,69.05,NSE_SHAREHOLDING_XBRL,SHP_1708302_05082026041753
ABINFRA,2026-06-30,2026-07-14,638699321,30.95,69.05,NSE_SHAREHOLDING_XBRL,SHP_1692064_14072026021549
ABLBL,2026-03-31,2026-04-17,1220489803,46.6,52.92,NSE_SHAREHOLDING_XBRL,SHP_1653385_17042026053649
ABLBL,2026-06-30,2026-07-21,1220489803,46.6,52.92,NSE_SHAREHOLDING_XBRL,SHP_1698464_21072026052501
ABMINTLLTD,2026-03-31,2026-04-11,9407486,74.7,25.3,NSE_SHAREHOLDING_XBRL,SHP_1649324_11042026030030
ABMINTLLTD,2026-06-30,2026-07-13,9407486,74.7,25.3,NSE_SHAREHOLDING_XBRL,SHP_1691346_13072026031119
ABREL,2026-03-31,2026-04-17,111690102,50.21,48.79,NSE_SHAREHOLDING_XBRL,SHP_1653718_17042026075512
ABREL,2026-06-30,2026-07-20,111690102,50.21,49.04,NSE_SHAREHOLDING_XBRL,SHP_1697008_20072026050127
ABSLAMC,2026-03-31,2026-04-08,288791304,74.82,25.18,NSE_SHAREHOLDING_XBRL,SHP_1647227_08042026021708
ABSLAMC,2026-06-30,2026-07-13,289216509,74.71,25.29,NSE_SHAREHOLDING_XBRL,SHP_1691241_13072026125659
ACC,2026-03-31,2026-04-11,187787841,56.69,43.31,NSE_SHAREHOLDING_XBRL,SHP_1649215_11042026091421
ACC,2026-06-30,2026-07-10,187787841,56.69,43.31,NSE_SHAREHOLDING_XBRL,SHP_1690234_10072026124901
ACCELYA,2026-03-31,2026-04-13,14925388,74.66,25.34,NSE_SHAREHOLDING_XBRL,SHP_1649579_13042026123345
ACCELYA,2026-06-30,2026-07-10,14925388,74.66,25.34,NSE_SHAREHOLDING_XBRL,SHP_1690411_10072026040004
ACCURACY,2026-03-31,2026-04-16,150552661,63.69,36.31,NSE_SHAREHOLDING_XBRL,SHP_1652585_16042026063221
ACCURACY,2026-06-30,2026-07-13,150552661,63.69,36.31,NSE_SHAREHOLDING_XBRL,SHP_1691381_13072026034033
ACE,2026-03-31,2026-04-17,119089060,65.42,34.52,NSE_SHAREHOLDING_XBRL,SHP_1653021_17042026022239
ACE,2026-06-30,2026-07-08,119089060,65.42,34.53,NSE_SHAREHOLDING_XBRL,SHP_1689371_08072026053128
ACEINTEG,2026-03-31,2026-04-09,10199918,73.53,26.47,NSE_SHAREHOLDING_XBRL,SHP_1647813_09042026125325
ACEINTEG,2026-06-30,2026-07-08,10199918,73.53,26.47,NSE_SHAREHOLDING_XBRL,SHP_1689111_08072026120511
ACI,2026-03-31,2026-04-18,123449717,53.43,46.57,NSE_SHAREHOLDING_XBRL,SHP_1654080_18042026030934
