symbol,isin,company_name,series,sector,industry,listing_date,delisting_date,active,updated_at,market_cap_cr,market_cap_as_of,market_cap_source
20MICRONS,INE144J01027,20 Microns Limited,EQ,,,06-OCT-2008,,1,2026-09-10 00:27:05,769.47311932,2026-09-09,CALCULATED_QUARTERLY_SHARES
21STCENMGM,INE253B01015,21st Century Management Services Limited,EQ,,,03-MAY-1995,,1,2026-09-10 00:27:05,40.740259959999996,2026-09-09,CALCULATED_QUARTERLY_SHARES
360ONE,INE466L01038,360 ONE WAM LIMITED,EQ,,,19-SEP-2019,,1,2026-09-10 00:27:05,44247.08468714,2026-09-09,CALCULATED_QUARTERLY_SHARES
3BBLACKBIO,INE994E01018,3B Blackbio Dx Limited,EQ,,,20-APR-2026,,1,2026-09-10 00:26:57,,,
3IINFOLTD,INE748C01038,3i Infotech Limited,BE,,,22-OCT-2021,,1,2026-09-10 00:27:05,558.5383445309999,2026-08-13,CALCULATED_QUARTERLY_SHARES
3MINDIA,INE470A01017,3M India Limited,EQ,,,13-AUG-2004,,1,2026-09-10 00:27:05,37202.8903725,2026-09-09,CALCULATED_QUARTERLY_SHARES
3PLAND,INE105C01023,3P Land Holdings Limited,EQ,,,19-JUL-1995,,1,2026-09-10 00:27:05,58.0506966,2026-09-09,CALCULATED_QUARTERLY_SHARES
5PAISA,INE618L01018,5Paisa Capital Limited,EQ,,,16-NOV-2017,,1,2026-09-10 00:27:05,1567.39924744,2026-09-09,CALCULATED_QUARTERLY_SHARES
63MOONS,INE111B01023,63 moons technologies limited,EQ,,,20-JUN-2005,,1,2026-09-10 00:27:05,3986.0696043299995,2026-09-09,CALCULATED_QUARTERLY_SHARES
A2ZINFRA,INE619I01012,A2Z Infra Engineering Limited,EQ,,,23-DEC-2010,,1,2026-09-10 00:27:05,270.7037931,2026-09-09,CALCULATED_QUARTERLY_SHARES
AAATECH,INE0D0U01013,AAA Technologies Limited,EQ,,,28-NOV-2022,,1,2026-09-10 00:27:05,117.83088885,2026-09-09,CALCULATED_QUARTERLY_SHARES
AADHARHFC,INE883F01010,Aadhar Housing Finance Limited,EQ,,,15-MAY-2024,,1,2026-09-10 00:27:05,20638.42366443,2026-09-09,CALCULATED_QUARTERLY_SHARES
AAKASH,INE087Z01024,Aakash Exploration Services Limited,EQ,,,29-SEP-2020,,1,2026-09-10 00:27:05,85.966509555,2026-09-09,CALCULATED_QUARTERLY_SHARES
AAREYDRUGS,INE198H01019,Aarey Drugs & Pharmaceuticals Limited,EQ,,,06-AUG-2021,,1,2026-09-10 00:27:05,308.712325184,2026-09-09,CALCULATED_QUARTERLY_SHARES
AARNAV,INE750R01016,Aarnav Fashions Limited,BE,,,25-FEB-2026,,1,2026-09-10 00:27:05,142.39204455799998,2026-08-20,CALCULATED_QUARTERLY_SHARES
AARON,INE721Z01010,Aaron Industries Limited,EQ,,,06-NOV-2020,,1,2026-09-10 00:27:05,281.73194485,2026-09-09,CALCULATED_QUARTERLY_SHARES
AARTECH,INE01C001026,Aartech Solonics Limited,BE,,,10-JUL-2023,,1,2026-09-10 00:27:05,157.776116888,2026-07-09,CALCULATED_QUARTERLY_SHARES
AARTIDRUGS,INE767A01016,Aarti Drugs Limited,EQ,,,19-SEP-2003,,1,2026-09-10 00:27:05,3865.058972595,2026-09-09,CALCULATED_QUARTERLY_SHARES
AARTIIND,INE769A01020,Aarti Industries Limited,EQ,,,08-FEB-1995,,1,2026-09-10 00:27:05,17999.489368439998,2026-09-09,CALCULATED_QUARTERLY_SHARES
AARTIPHARM,INE0LRU01027,Aarti Pharmalabs Limited,EQ,,,30-JAN-2023,,1,2026-09-10 00:27:05,7522.01824047,2026-09-09,CALCULATED_QUARTERLY_SHARES
AARTISURF,INE09EO01013,Aarti Surfactants Limited,BE,,,14-JUL-2020,,1,2026-09-10 00:27:05,557.815096815,2026-08-14,CALCULATED_QUARTERLY_SHARES
AARVI,INE754X01016,Aarvi Encon Limited,EQ,,,24-JUN-2020,,1,2026-09-10 00:27:05,210.846761128,2026-09-09,CALCULATED_QUARTERLY_SHARES
AASTHA,INE2FMX01012,Aastha Spintex Limited,EQ,,,06-JUL-2026,,1,2026-09-10 00:26:57,,,
AAVAS,INE216P01012,Aavas Financiers Limited,EQ,,,08-OCT-2018,,1,2026-09-10 00:27:05,10230.86160195,2026-09-09,CALCULATED_QUARTERLY_SHARES
ABAN,INE421A01028,Aban Offshore Limited,BE,,,29-MAR-1995,,1,2026-09-10 00:27:05,262.392031632,2025-09-04,CALCULATED_QUARTERLY_SHARES
ABANSENT,INE365O01028,Abans Enterprises Limited,EQ,,,20-APR-2026,,1,2026-09-10 00:26:57,,,
ABB,INE117A01022,ABB India Limited,EQ,,,08-FEB-1995,,1,2026-09-10 00:27:05,156843.98375625,2026-09-09,CALCULATED_QUARTERLY_SHARES
ABBOTINDIA,INE358A01014,Abbott India Limited,EQ,,,08-JAN-2010,,1,2026-09-10 00:26:57,,,
