symbol,date,prev_close,open,high,low,last_price,close,avg_price,volume,turnover_lacs,trades,delivery_qty,delivery_pct
20MICRONS,2026-07-02,199.35,201.74,203.0,198.4,201.0,201.78,200.55,108892,218.39,2559,48698,44.72
21STCENMGM,2026-07-02,32.27,32.28,32.69,31.63,31.75,31.75,31.69,4582,1.45,39,4269,93.17
360ONE,2026-07-02,1065.9,1075.0,1081.6,1060.6,1081.6,1070.0,1069.76,905046,9681.86,41611,485053,53.59
3BBLACKBIO,2026-07-02,1201.1,1191.5,1215.0,1186.2,1194.0,1205.8,1201.35,2293,27.55,367,1360,59.31
3IINFOLTD,2026-07-02,17.17,17.0,17.87,17.0,17.48,17.41,17.45,347711,60.68,998,196387,56.48
3MINDIA,2026-07-02,33435.0,33500.0,34150.0,33320.0,34000.0,33960.0,33747.6,2869,968.22,1651,1413,49.25
3PLAND,2026-07-02,31.97,33.35,33.35,31.63,31.63,32.67,32.87,3074,1.01,68,2377,77.33
5PAISA,2026-07-02,363.45,363.5,394.0,363.5,386.0,385.3,383.69,327646,1257.14,10390,107619,32.85
63MOONS,2026-07-02,664.7,667.9,675.0,654.0,658.9,661.5,663.26,101251,671.56,3837,50076,49.46
A2ZINFRA,2026-07-02,13.37,13.75,13.99,13.2,13.8,13.7,13.47,209016,28.16,497,175644,84.03
AAATECH,2026-07-02,97.75,98.79,102.2,97.5,98.11,98.34,99.05,61056,60.48,1228,25088,41.09
AADHARHFC,2026-07-02,517.75,518.0,542.0,518.0,536.85,535.7,535.96,1367797,7330.87,47900,669550,48.95
AAKASH,2026-07-02,9.11,9.14,9.25,8.88,9.06,9.03,9.04,88403,8.0,531,58973,66.71
AARNAV,2026-07-02,24.89,24.89,25.2,24.57,25.0,25.06,24.99,38799,9.7,528,16587,42.75
AARON,2026-07-02,117.66,116.01,118.93,116.01,118.69,117.57,117.76,3930,4.63,128,2669,67.91
AARTECH,2026-07-02,48.09,48.09,48.69,46.81,47.38,48.19,48.11,28559,13.74,629,15994,56.0
AARTIDRUGS,2026-07-02,375.55,376.1,388.0,376.1,383.5,384.45,383.22,152506,584.43,3728,96910,63.55
AARTIIND,2026-07-02,467.6,468.0,488.0,468.0,482.0,482.05,482.12,1032310,4977.02,25282,373240,36.16
AARTIPHARM,2026-07-02,701.7,705.0,714.4,691.05,701.0,697.2,700.84,262220,1837.74,12442,150296,57.32
AARTISURF,2026-07-02,379.85,383.0,383.1,377.8,380.65,381.1,380.86,2428,9.25,268,1867,76.89
AARVI,2026-07-02,144.69,144.69,146.0,142.27,143.8,143.2,144.71,6602,9.55,236,4666,70.68
AAVAS,2026-07-02,1518.3,1520.0,1533.9,1501.8,1503.0,1503.9,1511.3,56476,853.52,9839,32644,57.8
ABB,2026-07-02,6937.0,6950.0,6961.0,6830.5,6858.0,6861.0,6862.64,264804,18172.53,40370,95206,35.95
ABBOTINDIA,2026-07-02,25550.0,25600.0,25825.0,25550.0,25765.0,25725.0,25698.81,4925,1265.67,2620,2850,57.87
ABCAPITAL,2026-07-02,393.15,392.5,397.35,389.4,392.7,392.95,392.18,2941678,11536.72,39597,1327669,45.13
ABCOTS,2026-07-02,220.35,224.9,225.99,218.01,224.0,219.72,221.16,28062,62.06,885,15310,54.56
ABDL,2026-07-02,669.55,673.1,675.0,661.0,672.5,672.95,668.41,213375,1426.22,12265,94382,44.23
ABFRL,2026-07-02,58.67,58.97,63.84,58.82,62.0,61.88,62.03,30179838,18720.24,88970,8595604,28.48
ABGSEC,2026-07-02,113.66,115.05,115.05,114.9,114.97,114.92,114.99,117,0.13,6,117,100.0
ABINFRA,2026-07-02,11.0,11.07,11.48,10.8,11.08,10.93,11.06,2244367,248.24,2828,471008,20.99
ABLBL,2026-07-02,96.12,97.09,99.65,97.09,98.35,98.29,98.54,1280095,1261.42,13146,509174,39.78
ABMINTLLTD,2026-07-02,41.55,41.9,41.9,40.51,41.9,41.25,41.39,355,0.15,10,273,76.9
ABMKNO,2026-07-02,202.72,206.0,215.0,199.99,211.3,213.29,207.79,12380,25.72,221,10486,84.7
ABREL,2026-07-02,1396.0,1412.4,1444.0,1404.0,1420.0,1424.1,1421.97,289532,4117.04,19279,135882,46.93
ABSL10BANK,2026-07-02,172.79,173.56,176.0,173.1,176.0,173.72,173.82,1014,1.76,28,784,77.32
ABSLAMC,2026-07-02,1144.6,1138.9,1198.0,1138.9,1198.0,1191.3,1178.81,260053,3065.53,21028,140175,53.9
ABSLBANETF,2026-07-02,59.46,59.49,59.8,59.34,59.52,59.52,59.57,12916,7.69,233,7707,59.67
ABSLLIQUID,2026-07-02,1000.0,1000.0,1000.01,999.99,1000.01,1000.0,1000.0,5554,55.54,45,5484,98.74
ABSLMSCIN,2026-07-02,29.22,29.08,29.78,29.08,29.56,29.55,29.52,11946,3.53,25,7593,63.56
ABSLNN50ET,2026-07-02,75.67,75.02,76.25,75.02,75.87,75.94,76.0,15804,12.01,166,13496,85.4
