id,index_name,date,open,high,low,close,change_pct,volume,pe,pb,div_yield
1,India VIX,2024-12-23,15.0725,16.8825,13.4175,13.52,-10.3,-,,,
2,NIFTY Alpha Low-Volatility 30,2024-12-23,27404.35,27534.9,27225.05,27361.0,0.36,90522717,26.45,4.3,1.0
3,NIFTY Alpha Quality Low-Volatility 30,2024-12-23,22853.75,22889.3,22638.3,22750.9,0.11,61337622,29.86,7.67,1.51
4,NIFTY Alpha Quality Value Low-Volatility 30,2024-12-23,20531.0,20608.8,20363.2,20471.0,0.36,107658480,20.91,4.76,2.04
5,NIFTY LargeMidcap 250,2024-12-23,15748.2,15810.95,15650.4,15722.9,0.36,1168541667,29.45,4.33,1.0
6,NIFTY Midcap 100,2024-12-23,57198.85,57438.75,56680.1,57092.9,0.33,635264969,41.82,5.15,0.79
7,NIFTY Midcap150 Quality 50,2024-12-23,24416.4,24471.8,24196.8,24265.75,-0.35,42032253,38.35,8.99,1.18
8,NIFTY Quality Low-Volatility 30,2024-12-23,16998.25,17041.5,16881.5,16934.5,0.1,61678725,32.58,7.67,1.45
9,NIFTY SME EMERGE,2024-12-23,,,,16719.16,-0.48,-,104.56,9.23,0.06
10,NIFTY Smallcap 100,2024-12-23,18822.5,18871.45,18546.45,18687.8,-0.14,204518764,34.61,4.13,0.99
11,NIFTY100 Alpha 30,2024-12-23,18507.75,18630.2,18371.0,18439.15,0.08,225590766,22.93,4.92,1.46
12,NIFTY100 ESG,2024-12-23,4711.75,4735.9,4690.0,4704.75,0.39,398443128,23.52,4.12,1.23
13,NIFTY100 Enhanced ESG,2024-12-23,4747.1,4771.4,4725.15,4740.0,0.39,398050378,23.5,4.12,1.23
14,NIFTY100 Quality 30,2024-12-23,5556.8,5575.1,5523.2,5540.95,0.25,68576655,31.52,8.0,1.78
15,NIFTY200 Quality 30,2024-12-23,20858.65,20923.95,20725.95,20780.55,0.13,62574667,33.53,9.71,1.87
16,NIFTY50 Equal Weight,2024-12-23,29396.4,29564.35,29253.3,29359.95,0.52,189758237,22.46,3.62,1.34
17,NIFTY500 Value 50,2024-12-23,13770.95,13866.7,13665.75,13744.15,0.5,328064520,11.78,1.52,3.34
18,Nifty 10 yr Benchmark G-Sec,2024-12-23,2437.45,2440.88,2437.45,2439.86,0.12,-,,,
19,Nifty 10 yr Benchmark G-Sec (Clean Price),2024-12-23,888.02,889.29,888.02,888.92,0.1,-,,,
20,Nifty 100,2024-12-23,24597.3,24735.75,24502.8,24599.75,0.62,492987327,22.34,3.58,1.25
21,Nifty 11-15 yr G-Sec Index,2024-12-23,3055.02,3057.51,3054.98,3057.13,0.09,-,,,
22,Nifty 15 yr and above G-Sec Index,2024-12-23,3368.65,3372.42,3368.44,3368.44,0.01,-,,,
23,Nifty 1D Rate Index,2024-12-23,,,,2369.67,0.05,-,,,
24,Nifty 200,2024-12-23,13452.95,13525.05,13399.55,13449.75,0.57,1128252296,24.29,3.78,1.17
25,Nifty 4-8 yr G-Sec Index,2024-12-23,2979.74,2981.5,2979.72,2980.76,0.05,-,,,
26,Nifty 50,2024-12-23,23738.2,23869.55,23647.2,23753.45,0.7,189758237,21.86,3.54,1.27
27,Nifty 50 Arbitrage,2024-12-23,,,,2421.29,0.08,-,,,
